,bioprocess_count,genes_related
toxin activity,2,"['ERVK-10', 'CXCL8']"
Chromosome Condensation,2,"['ERVK-10', 'CA2']"
ATP-dependent proteolysis,2,"['ERVK-10', 'ERVK-10']"
insulin processing,2,"['ERVK-10', 'INS']"
cofactor binding,2,"['ERVK-10', 'TH']"
steroid hormone receptor activity,2,"['ERVK-10', 'PGR']"
cysteine protease activity,2,"['ERVK-10', 'GSR']"
SNAP receptor activity,2,"['ERVK-10', 'CA2']"
Passive biological transport,2,"['ERVK-10', 'CA2']"
photoinhibition,2,"['ERVK-10', 'GSR']"
Amelogenesis,2,"['CA2', 'EGF']"
Cell Hypoxia,2,"['CA2', 'HIF1A']"
Platelet Adhesiveness,2,"['CA2', 'WDTC1']"
Sperm Maturation,2,"['CA2', 'VEGFA']"
Salivary gland function,2,"['CA2', 'CXCL8']"
Proton-Motive Force,2,"['CA2', 'WDTC1']"
afterpotential,2,"['CA2', 'CA2']"
oculomotor,2,"['CA2', 'GRK2']"
fatty acid binding,2,"['CA2', 'ALB']"
myosin binding,2,"['CA2', 'AKT1']"
tropomyosin binding,2,"['CA2', 'CA2']"
chitinase activity,2,"['CA2', 'AKT1']"
beta-glucosidase activity,2,"['CA2', 'CA2']"
phosphatidylcholine-sterol O-acyltransferase activity,2,"['CA2', 'APOB']"
amiloride transport,2,"['CA2', 'GPI']"
glycolytic fermentation to ethanol,2,"['CA2', 'CA2']"
arginine catabolic process,2,"['CA2', 'AHR']"
AMP phosphorylation,2,"['CA2', 'CA2']"
sphingolipid metabolic process,2,"['CA2', 'TP53']"
leaf senescence,2,"['CA2', 'CAT']"
receptor metabolic process,2,"['CA2', 'AR']"
Protein-Carbohydrate Interaction,2,"['CA2', 'CD44']"
nerve growth factor binding,2,"['CA2', 'SST']"
vasomotion,2,"['CA2', 'AKT1']"
iron binding,2,"['CA2', 'CP']"
phospholipase A1 activity,2,"['CA2', 'CA2']"
exo-alpha-sialidase activity,2,"['CA2', 'IL2']"
pyruvate oxidation,2,"['CA2', 'CA2']"
actin filament binding,2,"['CA2', 'GSN']"
methanogenesis,2,"['CA2', 'ABCC8']"
"synaptic transmission, glutamatergic",2,"['CA2', 'CCK']"
Mitotic Prophase,2,"['CA2', 'TP53']"
molecular assembly/self assembly,2,"['CA2', 'RHO']"
mitochondrial intermediate peptidase activity,2,"['CA2', 'RELA']"
NAD+ kinase activity,2,"['CA2', 'WDTC1']"
deoxycytidine kinase activity,2,"['CXCL8', 'PSMB6']"
Lipid Mobilization,2,"['LEP', 'TTR']"
calorigenesis,2,"['LEP', 'TH']"
ceramide biosynthetic process,2,"['LEP', 'TP53']"
long-chain fatty acid metabolic process,2,"['LEP', 'INS']"
ceramide metabolic process,2,"['LEP', 'AKT1']"
Neuronal Remodeling,2,"['LEP', 'GRK2']"
"Adaptation, Physiological",2,"['LEP', 'PPARA']"
Insemination,2,"['TLR4', 'CD4']"
Visual evoked cortical potential,2,"['INS', 'GRK2']"
Vitellogenesis,2,"['INS', 'ESR1']"
Neuronal pool,2,"['INS', 'SST']"
Coprecipitation,2,"['INS', 'TP53']"
Olfactory Thresholds,2,"['INS', 'ACE']"
pancreatic islet function,2,"['INS', 'HSPA4']"
Pharmacodynamics,2,"['INS', 'ABCB1']"
neprilysin activity,2,"['INS', 'SST']"
phosphoenolpyruvate carboxykinase activity,2,"['INS', 'INS']"
protein palmitoylation,2,"['INS', 'CISH']"
fatty acid catabolic process,2,"['INS', 'PPARA']"
lactate metabolic process,2,"['INS', 'VIP']"
retinal metabolism,2,"['INS', 'SLURP1']"
Increased Mitosis [PE],2,"['INS', 'CD44']"
Ventricular Repolarization [PE],2,"['INS', 'AR']"
Insulin Receptor Interactions [MoA],2,"['INS', 'INS']"
Negative Inotropy [PE],2,"['INS', 'SST']"
Decreased Cellular Death [PE],2,"['INS', 'TP53']"
Estivation,2,"['INS', 'AKT1']"
Bystander Suppression,2,"['INS', 'CD4']"
interleukin-8 receptor binding activity,2,"['INS', 'HSPA4']"
metalloendopeptidase activity,2,"['INS', 'CCK']"
acyl-CoA oxidase activity,2,"['INS', 'CAT']"
insulin receptor signaling pathway,2,"['INS', 'PTS']"
Mineralocorticoid Receptor Antagonists [MoA],2,"['INS', 'PTH']"
Neurokinin 1 Receptor Interactions [MoA],2,"['INS', 'FOS']"
opsonization,2,"['FAS', 'FOS']"
long-chain fatty acid biosynthetic process,2,"['FAS', 'PPARA']"
p53 Signaling Pathway BioCarta,2,"['FAS', 'CDKN1A']"
Embryonic Pattern Formation,2,"['FAS', 'GSN']"
beta-D-glucose oxidase activity,2,"['CAT', 'CAT']"
immunoglobulin binding,2,"['CAT', 'VEGFA']"
septation initiation signaling,2,"['CAT', 'CRK']"
lactate dehydrogenase activity,2,"['CAT', 'WDTC1']"
ripening,2,"['CAT', 'SOD1']"
Defense Mechanisms,2,"['CAT', 'IFNA1']"
prostaglandin metabolic process,2,"['IFNA1', 'PTH']"
Chromatin Modeling,2,"['IFNA1', 'CISH']"
interleukin-6 binding activity,2,"['IFNA1', 'STAT3']"
O-methyltransferase activity,2,"['IFNA1', 'CRK']"
Heredity,2,"['IFNA1', 'HSPA4']"
p450 induction,2,"['IFNA1', 'AHR']"
Kidney Concentrating Ability,2,"['PTH', 'AQP2']"
Gastric bicarbonate secretion,2,"['PTH', 'PTH']"
Summation (function),2,"['PTH', 'GRK2']"
placental transfer,2,"['PTH', 'HFE']"
Fetoplacental Circulation,2,"['PTH', 'POMC']"
hyaluronan metabolic process,2,"['PTH', 'CD44']"
autonomic reflex,2,"['VIP', 'GPI']"
disaccharide metabolic process,2,"['CD8A', 'MAL']"
cell longevity,2,"['AKT1', 'CD44']"
nuclear migration,2,"['AKT1', 'MAPK1']"
protein synthesis initiation,2,"['AKT1', 'TP53']"
Spatial Memory,2,"['AKT1', 'HFE']"
Decreased Cellular Migration [PE],2,"['AKT1', 'SLC12A2']"
production of miRNAs involved in gene silencing by miRNA,2,"['AKT1', 'TP53']"
deacetylase activity,2,"['AKT1', 'PPARA']"
vascular endothelial growth factor receptor signaling pathway,2,"['AKT1', 'VEGFA']"
beta-Adrenergic receptor function,2,"['SLURP1', 'GRK2']"
conditioned place preference,2,"['SLURP1', 'FOS']"
lymph flow,2,"['SCT', 'SST']"
Graft vs Leukemia Effect,2,"['SCT', 'CD4']"
lignin biosynthetic process,2,"['MPO', 'MPO']"
heme biosynthetic process,2,"['MPO', 'AR']"
Negative Regulation of Lymphocyte Activation,2,"['MPO', 'IL2']"
neuroimmunology,2,"['IL2', 'IL6']"
T-Cell Transformation,2,"['IL2', 'FOS']"
Flexion spinal defense reflex,2,"['IL2', 'POMC']"
barrier septum assembly,2,"['TTR', 'FOS']"
Free water clearance,2,"['REN', 'CD40']"
Postmenopause,2,"['EGFR', 'MMP2']"
cell life cycle,2,"['EGFR', 'RHO']"
ommatidial rotation,2,"['EGFR', 'EGF']"
lysosomal transport,2,"['EGFR', 'HGS']"
protein tyrosine phosphatase activity,2,"['EGFR', 'EGFR']"
thymidine phosphorylase activity,2,"['EGFR', 'GRK2']"
JAK-STAT cascade,2,"['EGFR', 'PIK3CA']"
Cell Migration Pathway,2,"['PPARG', 'CD44']"
tissue oxygenation,2,"['ALB', 'CD40']"
cobalt ion binding,2,"['ALB', 'ALB']"
copper ion binding,2,"['ALB', 'CP']"
phosphatidylserine binding,2,"['ANXA5', 'ANXA5']"
calcium-dependent phospholipid binding,2,"['ANXA5', 'VEGFA']"
Gene Duplication,2,"['HSPA4', 'ACE']"
photoprotection,2,"['HSPA4', 'ESR1']"
IMP metabolic process,2,"['HSPA4', 'PTEN']"
protein stabilization,2,"['HSPA4', 'TP53']"
heat shock protein activity,2,"['HSPA4', 'VEGFA']"
Insertion Mutation,2,"['ABCC8', 'CYP2E1']"
cathepsin L activity,2,"['IL6', 'MAPK1']"
Joint formation,2,"['VEGFA', 'VEGFA']"
neuronal guidance,2,"['VEGFA', 'RHO']"
gliogenesis,2,"['VEGFA', 'STAT3']"
Epithelial-Stromal Communication,2,"['VEGFA', 'PTGS2']"
branching involved in ureteric bud morphogenesis,2,"['VEGFA', 'VEGFA']"
Myeloid Cell Activation Process,2,"['VEGFA', 'SST']"
heteroduplex formation,2,"['VEGFA', 'TP53']"
chromosome loss,2,"['TP53', 'TP53']"
protein kinase CK2 activity,2,"['TP53', 'TP53']"
Mitotic Checkpoints,2,"['TP53', 'TP53']"
rRNA transcription,2,"['TP53', 'TP53']"
"Epigenesis, Genetic",2,"['TP53', 'RHO']"
V(D)J Recombination,2,"['TP53', 'CISH']"
circadian behavior,2,"['TP53', 'MAPK1']"
apoptotic mitochondrial changes,2,"['TP53', 'BAX']"
Radiation-Induced Gene Expression,2,"['TP53', 'CISH']"
antigen recognition,2,"['MAPK1', 'CD4']"
mRNA export from nucleus,2,"['MAPK1', 'MAPK3']"
post-embryonic development,2,"['TH', 'TH']"
dopamine binding,2,"['TH', 'TH']"
muscle physiology,2,"['TH', 'GRK2']"
hereditary factors,2,"['TH', 'ESR1']"
Nucleoside Reverse Transcriptase Inhibitors [MoA],2,"['CD4', 'BAX']"
MHC Interaction,2,"['CD4', 'CD4']"
Antigenic Modulation,2,"['CD4', 'CD4']"
Pregnancy Maintenance,2,"['FOS', 'PTGS2']"
sensorimotor integration,2,"['FOS', 'GRK2']"
Conditioned Reflex,2,"['FOS', 'MAPK8']"
GPI anchor biosynthetic process,2,"['SOD1', 'GPI']"
Sebaceous gland activity,2,"['POMC', 'ABCB1']"
progesterone metabolic process,2,"['POMC', 'PGR']"
Cervical Ripening,2,"['MMP9', 'CD44']"
Penis growth,2,"['AR', 'AR']"
androgen receptor signaling pathway,2,"['AR', 'AR']"
beta-catenin binding,2,"['AR', 'RELA']"
Protein Splicing,2,"['AR', 'PGR']"
Peak gastric acid output,2,"['MAPK8', 'CD40']"
Microtubule Depolymerization Process,2,"['MAPK8', 'MAPK8']"
Ceramide Signaling Pathway BioCarta,2,"['MAPK8', 'CRK']"
MAP kinase kinase kinase activity,2,"['MAPK8', 'ESR1']"
Chromosome replication,2,"['CDKN1A', 'PSMB6']"
phosphoglucomutase activity,2,"['CDKN1A', 'TCEAL1']"
DNA ligase activity,2,"['CDKN1A', 'TCEAL1']"
RNA-Protein Interaction,2,"['CDKN1A', 'CISH']"
Topoisomerase Inhibitors [MoA],2,"['CDKN1A', 'TCEAL1']"
potassium channel activity,2,"['ESR1', 'WDTC1']"
Estrogen Receptor Agonists [MoA],2,"['ESR1', 'ESR1']"
Cell Mobility,2,"['ESR1', 'GC']"
ubiquitin-protein ligase activity,2,"['ESR1', 'CD44']"
"Frameshifting, Ribosomal",2,"['RELA', 'CISH']"
transcription regulator activity,2,"['RELA', 'RELA']"
Single Strand Break Repair,2,"['RELA', 'WDTC1']"
Increased Fibroblast Migration [PE],2,"['IL10', 'CD44']"
Pulmonary Circulation,2,"['WDTC1', 'RHO']"
ionic balance,2,"['WDTC1', 'WDTC1']"
ADP-ribosylation factor binding,2,"['WDTC1', 'WDTC1']"
choline kinase activity,2,"['WDTC1', 'WDTC1']"
hyperosmotic response,2,"['WDTC1', 'CRK']"
nonselective vesicle assembly,2,"['WDTC1', 'CISH']"
NADP binding,2,"['WDTC1', 'GSR']"
Increased Platelet Aggregation [PE],2,"['WDTC1', 'GPI']"
bile acid metabolism,2,"['CYP3A4', 'PPARA']"
Genetic Drift,2,"['CISH', 'CISH']"
sperm-oocyte fusion,2,"['CISH', 'GRK2']"
translational elongation,2,"['CISH', 'CRK']"
cellular biosynthetic process,2,"['CISH', 'APOB']"
triplet codon-amino acid adaptor activity,2,"['CISH', 'GC']"
antifreeze activity,2,"['MUC7', 'MCOLN1']"
glycine binding,2,"['MUC7', 'MCOLN1']"
cellulase activity,2,"['MUC7', 'MCOLN1']"
6-phosphofructokinase activity,2,"['MUC7', 'MCOLN1']"
long-chain-fatty-acid-CoA ligase activity,2,"['MUC7', 'MCOLN1']"
calcium ion transport,2,"['MUC7', 'MCOLN1']"
Glucagon Receptor Interactions [MoA],2,"['MUC7', 'MCOLN1']"
anion binding,2,"['MUC7', 'MCOLN1']"
glutamate-ammonia ligase activity,2,"['MUC7', 'MCOLN1']"
glucose-6-phosphate transport,2,"['MUC7', 'MCOLN1']"
aminophospholipid transport,2,"['MUC7', 'MCOLN1']"
thiamin-triphosphatase activity,2,"['MUC7', 'MCOLN1']"
DNA template,2,"['MUC7', 'MCOLN1']"
methyltransferase activity,2,"['MUC7', 'MCOLN1']"
pollen germination,2,"['MMP2', 'CCND1']"
lipid kinase activity,2,"['PIK3CA', 'PIK3CA']"
detection of stimulus involved in sensory perception,2,"['GPI', 'CCK']"
arginine metabolic process,2,"['GPI', 'PPARA']"
modulation by symbiont of host erythrocyte aggregation,2,"['CP', 'CP']"
Copper Chelation,2,"['CP', 'CP']"
Penile Erection,2,"['RHO', 'SST']"
Geranylgeranylation,2,"['RHO', 'RHO']"
intermediate filament organization,2,"['RHO', 'HGS']"
Mitotic Cell Cycle,2,"['CCND1', 'BBS9']"
ergosterol biosynthetic process,2,"['ABCB1', 'PSMB6']"
pupation,2,"['HGS', 'GRK2']"
Digestive System Physiological Phenomena,2,"['SST', 'CCK']"
Myeloproliferation,2,"['CD40', 'PTEN']"
Carcinogen Metabolism,2,"['AHR', 'PPIG']"
DNA Alkylation,2,"['GSR', 'CCK']"
Blinking,2,"['CCK', 'GRK2']"
spinal reflex,2,"['CCK', 'GRK2']"
"Visceral sensation, function",2,"['CCK', 'GRK2']"
Aversion (finding),2,"['CCK', 'PPIG']"
Conscious,2,"['GRK2', 'SLC17A5']"
coumarin 7-hydroxylase activity,2,"['PPIG', 'PPIG']"
Antigenic Variation,2,"['PGR', 'PGR']"
obsolete low-density lipoprotein catabolic process,2,"['APOB', 'APOB']"
Spinal Cord Regeneration,2,"['PTEN', 'PTEN']"
oxalic acid secretion,1,['CFTR']
CFTR Pathway,1,['CFTR']
bicarbonate:chloride antiporter activity,1,['CFTR']
Male sexual function,1,['TGFB1']
"Complement Pathway, Mannose-Binding Lectin",1,['TGFB1']
L-proline transport,1,['TGFB1']
midgut development,1,['TGFB1']
collagen fibril organization,1,['TGFB1']
platelet-derived growth factor receptor binding activity,1,['TGFB1']
elastic fiber assembly,1,['TGFB1']
eggshell formation,1,['TGFB1']
phagolysosome assembly,1,['TGFB1']
musculoskeletal regeneration,1,['TGFB1']
"Metabolic Detoxication, Phase II",1,['TGFB1']
Rat Learning,1,['TGFB1']
homocysteine metabolic process,1,['TGFB1']
interferon-gamma binding,1,['TGFB1']
proteoglycan catabolic process,1,['TGFB1']
transforming growth factor beta binding,1,['TGFB1']
Receptor Activity Modifying Proteins [MoA],1,['CAMP']
Ion Channel Gating,1,['CAMP']
Excitatory potential,1,['CAMP']
alkyl substitution,1,['CAMP']
GTP cyclohydrolase activity,1,['CAMP']
phosphatidate phosphatase activity,1,['CAMP']
3-hydroxy-3-methylglutaryl coenzyme A reductase activity,1,['CAMP']
antibiotic biosynthetic process,1,['CAMP']
bacteriocin immunity,1,['CAMP']
glyoxylate cycle,1,['CAMP']
melatonin biosynthetic process,1,['CAMP']
folic acid metabolism,1,['CAMP']
platelet activating factor biosynthetic process,1,['CAMP']
nucleoside metabolic process,1,['CAMP']
glycine transport,1,['CAMP']
phosphoenolpyruvate-dependent sugar phosphotransferase system,1,['CAMP']
organic anion transport,1,['CAMP']
ovarian follicle rupture,1,['CAMP']
type IV pilus-dependent motility,1,['CAMP']
Protein Kinase Protein Phosphorylation,1,['CAMP']
beta-glucan metabolic process,1,['CAMP']
thromboxane-A synthase activity,1,['CAMP']
"3',5'-cyclic-AMP phosphodiesterase activity",1,['CAMP']
galactokinase activity,1,['CAMP']
natriuretic peptide receptor activity,1,['CAMP']
immunoglobulin receptor activity,1,['CAMP']
T-cell receptor activity,1,['CAMP']
basophil activation,1,['CAMP']
fibroblast growth factor receptor signaling pathway,1,['CAMP']
putrescine biosynthetic process,1,['CAMP']
cAMP catabolic process,1,['CAMP']
phosphatidylinositol metabolic process,1,['CAMP']
phosphoamidase activity,1,['CAMP']
conidium formation,1,['CAMP']
regulation of secretion,1,['CAMP']
Viable pregnancy,1,['CAMP']
pseudohyphal growth,1,['CAMP']
negative phototaxis,1,['CAMP']
inhibition of mitosis,1,['CAMP']
cystathionine beta-synthase activity,1,['CAMP']
glucocorticoid biosynthetic process,1,['CAMP']
macromolecule biosynthetic process,1,['CAMP']
peptidoglycan metabolic process,1,['CAMP']
acetate metabolic process,1,['CAMP']
Growth Hormone Receptor Antagonists [MoA],1,['CAMP']
protein kinase A binding,1,['CAMP']
Intestinal electrolyte transport,1,['ELANE']
cathepsin G activity,1,['ELANE']
ammonia oxidation,1,['ELANE']
retinoic acid receptor binding,1,['ELANE']
retinal adaptation,1,['TNFRSF1A']
dihydropteroate synthase activity,1,['TNFRSF1A']
nitrate assimilation,1,['TNFRSF1A']
Mental Fatigue,1,['TNF']
Adenosine Deaminase Inhibitors [MoA],1,['TNF']
Coronary Circulation,1,['TNF']
Early Gene Transcription,1,['TNF']
Isotonic Contraction,1,['TNF']
Cardiac conduction,1,['TNF']
Electrogenic sodium absorption,1,['TNF']
autocrine,1,['TNF']
connective tissue metabolism,1,['TNF']
hormonal cascade,1,['TNF']
carbohydrate uptake transporter activity,1,['TNF']
interleukin-1 binding activity,1,['TNF']
histone methyltransferase activity,1,['TNF']
surfactant activity,1,['TNF']
amino acid transporter activity,1,['TNF']
tumor necrosis factor biosynthetic process,1,['TNF']
cyclic nucleotide metabolic process,1,['TNF']
Heart Contractility,1,['TNF']
Therapeutic Uses,1,['TNF']
tumor necrosis factor receptor binding,1,['TNF']
blastocyst growth,1,['TNF']
Tumor Necrosis Factor Receptor Interactions [MoA],1,['TNF']
Chemotaxis Inhibition,1,['TNF']
beta-fructofuranosidase activity,1,['TNF']
hexosaminidase activity,1,['TNF']
glutamate decarboxylase activity,1,['TNF']
Avoidance Learning,1,['TNF']
Awareness,1,['TNF']
Suspicion,1,['TNF']
biological blockade,1,['TNF']
SUMO-specific protease activity,1,['TNF']
DNA topoisomerase activity,1,['TNF']
malate dehydrogenase activity,1,['TNF']
catechol O-methyltransferase activity,1,['TNF']
glucoside transport,1,['TNF']
organelle ATP synthesis coupled electron transport,1,['TNF']
zymosan binding,1,['TNF']
prolactin receptor binding,1,['TNF']
endotoxin activity,1,['TNF']
Term Birth,1,['TNF']
biological modulation,1,['TNF']
Signal Transduction Inhibition,1,['TNF']
death receptor interacting protein activity,1,['TNF']
MHC class II protein binding,1,['TNF']
Increased Protein Breakdown [PE],1,['TNF']
pexophagy,1,['DCTN4']
Biological Clocks,1,['ERVK-10']
Mast cell migration,1,['ERVK-10']
Anticoagulant effect,1,['ERVK-10']
"Gene Transfer, Horizontal",1,['ERVK-10']
1-aminocyclopropane-1-carboxylate synthase activity,1,['ERVK-10']
collagen catabolic process,1,['ERVK-10']
viral protein processing,1,['ERVK-10']
protein repair,1,['ERVK-10']
photosystem II repair,1,['ERVK-10']
photosystem II assembly,1,['ERVK-10']
sperm entry,1,['ERVK-10']
Innate Bone Remodeling,1,['ERVK-10']
Regulation of Proteolysis,1,['ERVK-10']
neural tube closure,1,['ERVK-10']
protein digestion,1,['ERVK-10']
protein oligomerization,1,['ERVK-10']
Imagery,1,['ERVK-10']
carboxypeptidase activity,1,['ERVK-10']
RNA export from nucleus,1,['ERVK-10']
laminin binding,1,['ERVK-10']
Cytoplasmic streaming,1,['CA2']
Milk Ejection,1,['CA2']
Theta Rhythm,1,['CA2']
motor ability,1,['CA2']
Clot retraction,1,['CA2']
Ventricular systole,1,['CA2']
urea cycle,1,['CA2']
mitochondrial biology,1,['CA2']
Passive Ion Transport,1,['CA2']
glutamate binding,1,['CA2']
glycosaminoglycan binding,1,['CA2']
interleukin-8 receptor activity,1,['CA2']
phosphate ion binding,1,['CA2']
trehalase activity,1,['CA2']
carboxypeptidase H activity,1,['CA2']
acrosin activity,1,['CA2']
enteropeptidase activity,1,['CA2']
nitrate reductase activity,1,['CA2']
levarterenol transporter activity,1,['CA2']
cation channel activity,1,['CA2']
neuronal action potential propagation,1,['CA2']
synaptic vesicle endocytosis,1,['CA2']
cellular cation homeostasis,1,['CA2']
glycerol metabolic process,1,['CA2']
trehalose biosynthetic process,1,['CA2']
Reductive Pentose Phosphate Cycle,1,['CA2']
platelet activating factor metabolic process,1,['CA2']
putrescine transport,1,['CA2']
choline transport,1,['CA2']
mannitol transport,1,['CA2']
sequestering of triglyceride,1,['CA2']
Thermotaxis,1,['CA2']
Bronchodilation [PE],1,['CA2']
Positive Inotropy [PE],1,['CA2']
Enzyme Interactions [MoA],1,['CA2']
Cardiac Muscle Contraction,1,['CA2']
histidine decarboxylase activity,1,['CA2']
Osmotic Activity [MoA],1,['CA2']
Active movement,1,['CA2']
Conditioned stimulus,1,['CA2']
"Memory, Long-Term",1,['CA2']
membrane flux,1,['CA2']
SPP phosphatase activity,1,['CA2']
arginine decarboxylase activity,1,['CA2']
manganese peroxidase activity,1,['CA2']
cellulose synthase activity,1,['CA2']
mannosyltransferase activity,1,['CA2']
sulfotransferase activity,1,['CA2']
water channel activity,1,['CA2']
histone dephosphorylation,1,['CA2']
protamine kinase activity,1,['CA2']
taurine binding,1,['CA2']
Erythrocyte Deformability,1,['CA2']
organelle movement,1,['CA2']
threshold potential,1,['CA2']
phospholipid scrambling,1,['CA2']
lysophospholipase activity,1,['CA2']
malic enzyme activity,1,['CA2']
protein kinase C binding,1,['CA2']
Integrin Inhibition,1,['CA2']
Ionophore activity,1,['CA2']
protein polymerization,1,['CA2']
Dentin Permeability,1,['CXCL8']
acetate kinase activity,1,['CXCL8']
"ATPase activity, uncoupled",1,['CXCL8']
enolase activity,1,['CXCL8']
Physiologic Thermoregulation,1,['LEP']
Fetal Movement,1,['LEP']
Maternal-Fetal Exchange,1,['LEP']
Water-Electrolyte Balance,1,['LEP']
Normal respiratory function,1,['LEP']
Chemoreceptor function,1,['LEP']
cholesterol desmolase activity,1,['LEP']
neuropeptide signaling pathway,1,['LEP']
glycerol biosynthetic process from pyruvate,1,['LEP']
uridine biosynthetic process,1,['LEP']
"photosynthesis, light harvesting",1,['LEP']
24 hour blood pressure,1,['LEP']
Satiety Response,1,['LEP']
bile salt hydrolase activity,1,['LEP']
5'-AMP-activated protein kinase activity,1,['LEP']
glycerol dehydrogenase activity,1,['LEP']
histamine metabolic process,1,['LEP']
UDP-N-acetylglucosamine biosynthetic process,1,['LEP']
L-glutamine transport,1,['LEP']
Exocrine gland secretion,1,['ANO1']
coisogenic,1,['TLR4']
Decreased Endocytosis [PE],1,['TLR4']
Secondary healing,1,['INS']
protein distribution,1,['INS']
LDL receptor activity,1,['INS']
insulin receptor binding,1,['INS']
adenosine deaminase activity,1,['INS']
fumarate reductase activity,1,['INS']
leukocyte cell-cell adhesion,1,['INS']
hexose metabolic process,1,['INS']
leucine metabolic process,1,['INS']
carnitine metabolic process,1,['INS']
mesoderm development,1,['INS']
imaginal disc growth,1,['INS']
"nucleoside transmembrane transporter activity, down a concentration gradient",1,['INS']
cuticle pigmentation,1,['INS']
sterol regulatory element binding protein cleavage,1,['INS']
Bone Formation Alteration [PE],1,['INS']
Cell Maintenance,1,['INS']
adrenergic system,1,['INS']
progesterone catabolic process,1,['INS']
interleukin-15 receptor binding activity,1,['INS']
heparanase activity,1,['INS']
acyl-CoA hydrolase activity,1,['INS']
dihydroneopterin aldolase activity,1,['FAS']
notochord development,1,['FAS']
Tricarboxylate secondary active transmembrane transporter activity,1,['FAS']
Complement-Dependent Cytotoxicity,1,['FAS']
memory acquisition,1,['FAS']
sphingomyelin biosynthetic process,1,['FAS']
lactate oxidation,1,['FAS']
vinculin binding,1,['FAS']
circadian response,1,['CCL2']
"Reflex, Righting",1,['CAT']
cyanamide metabolic process,1,['CAT']
methanol metabolic process,1,['CAT']
methanol oxidation,1,['CAT']
hydrogen peroxide metabolic process,1,['CAT']
Positive Regulation of Necrotic Process,1,['CAT']
Mental Orientation,1,['CAT']
epoxide hydrolase activity,1,['CAT']
glutathione oxidase activity,1,['CAT']
Stain reaction,1,['CAT']
Light absorption,1,['CAT']
pesticide interaction,1,['CAT']
catecholamine catabolism,1,['CAT']
pantothenate biosynthetic process,1,['CAT']
Melatonin Receptor Agonists [MoA],1,['CAT']
Free Radical Suppression,1,['CAT']
dehydroascorbate reductase activity,1,['CAT']
benzene metabolic process,1,['CAT']
cytotoxin activity,1,['CAT']
salicylic acid biosynthetic process,1,['CAT']
neutrophil apoptotic process,1,['CAT']
ketogenic,1,['IFNA1']
modulation by virus of host morphology or physiology,1,['IFNA1']
body balance,1,['IFNA1']
Biological Rhythm,1,['IFNA1']
T-helper 1 cell differentiation,1,['IFNA1']
glycosaminoglycan biosynthetic process,1,['IFNA1']
protein polyubiquitination,1,['IFNA1']
polyamine metabolic process,1,['IFNA1']
Level of interest,1,['IFNA1']
5'-nucleotidase activity,1,['IFNA1']
dihydropyrimidine dehydrogenase activity,1,['IFNA1']
ribonucleotide biosynthetic process,1,['IFNA1']
adenosine metabolic process,1,['IFNA1']
Bone function,1,['PTH']
phosphorus metabolism,1,['PTH']
biological activation,1,['PTH']
Mineral balance,1,['PTH']
25-hydroxy vitamin D3 1-alpha-hydroxylase activity,1,['PTH']
nucleoside-triphosphate diphosphatase activity,1,['PTH']
Decreased Intercellular Communication [PE],1,['PTH']
dynein light chain binding,1,['PTH']
palmitoyltransferase activity,1,['PTH']
diacylglycerol metabolic process,1,['PTH']
midbrain development,1,['CXCR2']
sulfate transport,1,['SLC26A3']
neuromuscular function,1,['VIP']
aqueous humor flow,1,['VIP']
neuromuscular activity,1,['VIP']
cognitive processes,1,['VIP']
dipeptide transport,1,['VIP']
ameboid movement,1,['DNASE1']
leucine biosynthetic process,1,['CD8A']
"Resting Phase, Cell Cycle",1,['AKT1']
heart metabolism,1,['AKT1']
Long-Term Synaptic Depression,1,['AKT1']
N-myristoyltransferase activity,1,['AKT1']
actin nucleation,1,['AKT1']
endosome transport,1,['AKT1']
Regulation of Cell Size,1,['AKT1']
purine salvage,1,['AKT1']
glucose uptake,1,['AKT1']
sterol transport,1,['AKT1']
inner ear morphogenesis,1,['AKT1']
UDP-glucuronate decarboxylase activity,1,['AKT1']
kinetochore-microtubule interaction,1,['AKT1']
Decreased Gluconeogenesis [PE],1,['AKT1']
Megakaryocyte Proliferation,1,['AKT1']
diacylglycerol kinase activity,1,['AKT1']
dopamine D2 receptor activity,1,['AKT1']
ionotropic glutamate receptor activity,1,['AKT1']
